title	director	cast	country	rating	listed_in	description	show_id	release_year	date_added	duration
Age Gap Love		Fay Ripley	United Kingdom	TV-MA	British TV Shows, Reality TV, Romantic TV Shows	Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.	80221942	2017		1
Ainsley Eats the Streets		Ainsley Harriott	United Kingdom	TV-PG	British TV Shows, Docuseries, International TV Shows	Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.	80221943	2014		1
Blown Away			Canada	TV-PG	International TV Shows, Reality TV	Ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion.	80215147	2019		1
Encounters with Evil		Richard Lintern	United Kingdom	TV-14	British TV Shows, Crime TV Shows, Docuseries	This documentary series tries to get at the root of some of the most heinous crimes ever committed by deranged, cold-blooded criminals.	80222071	2016		1
Extreme Engagement		Tim Noonan, PJ Madam		TV-MA	International TV Shows, Reality TV	An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?	80210245	2019		1
History's Greatest Hoaxes			Australia	TV-PG	British TV Shows, Docuseries	Using previously unseen footage, this documentary series offers new insights into some of the biggest scams and forgeries in human history.	80224312	2016		1
Luis Miguel - The Series		Diego Boneta, Juan Pablo Zurita, Camila Sodi, Óscar Jaenada, Izan Llunas, Paulina Dávila, Martín Bello, Anna Favella, César Bordón, Vanessa Bauche	Mexico	TV-MA	International TV Shows, Spanish-Language TV Shows, TV Dramas	This series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades.	80191236	2018		1
Mega Food			United Kingdom	TV-G	British TV Shows, Docuseries, International TV Shows	Visiting the busiest kitchens in the world, this reality series focuses on large-scale food production – and the people who make it happen.	80224314	2013		1
MegaTruckers			Australia	TV-PG	Reality TV	This reality ride-along offers a glimpse into the can-do, high-stakes world of big rig drivers who haul massive loads of cargo across Australia.	80224184	2012		1
Money for Nothing				TV-PG	British TV Shows, International TV Shows, Reality TV	Aided by designers and craftspeople, entrepreneur Sarah Moore rescues items bound for the garbage dump and turns them into valuable, unique objects.	80224602	2015		1
One Spring Night		Han Ji-min, Jung Hae-in, Kim Jun-han, Yim Sung-eon, Song Seung-hwan, Kil Hae-yeon, Lee Moo-saeng, Kim Chang-wan	South Korea	TV-14	International TV Shows, Korean TV Shows, Romantic TV Shows	When Lee Jeong-in and Yu Ji-ho meet, something unexpected happens. Or it just may be that spring is in the air – and anything is possible.	81094069	2019		1
PILI Fantasy: War of Dragons		Wang Hsi-hua, Lai Wei, Zhang Yu-quan, Chen Yu-kuan, Gao Ming-xiao, Tian Zhi-jie, Li Xiang-yu, Guo Ya-zhen, Zhan Yi-chun, Ye Yu-jia		TV-14	International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy	As turmoil looms in the Martial World, and the Eight Wonders of the Evil Dragon unleashes dark forces, who will emerge as the new warrior legend?	81094893	2019		1
Taco Chronicles			United States	TV-PG	Docuseries, International TV Shows, Reality TV	Many of the most popular taco styles have long, rich, little-known histories. Explore some of them in this eye-opening, mouth-watering food adventure.	81040704	2019		1
