key,value
UA000000107384208,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""checkout"",""event_previous_timestamp"":1593880801027797,""event_timestamp"":1593880822506642,""geo"":{""city"":""Traverse City"",""state"":""MI""},""items"":[{""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595.0,""price_in_usd"":595.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593879413256859,""user_id"":""UA000000107384208""}"
UA000000107388621,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""email_coupon"",""event_previous_timestamp"":1593880770092554,""event_timestamp"":1593880829320848,""geo"":{""city"":""Hickory"",""state"":""NC""},""items"":[{""coupon"":""NEWBED10"",""item_id"":""M_STAN_F"",""item_name"":""Standard Full Mattress"",""item_revenue_in_usd"":850.5,""price_in_usd"":945.0,""quantity"":1}],""traffic_source"":""direct"",""user_first_touch_timestamp"":1593879889503719,""user_id"":""UA000000107388621""}"
UA000000107397512,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880824305898,""geo"":{""city"":""Fargo"",""state"":""ND""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593880824305898,""user_id"":""UA000000107397512""}"
UA000000107369427,"{""device"":""Android"",""ecommerce"":{},""event_name"":""add_item"",""event_previous_timestamp"":1593880753875794,""event_timestamp"":1593880826675403,""geo"":{""city"":""Chicago"",""state"":""IL""},""items"":[{""item_id"":""M_STAN_T"",""item_name"":""Standard Twin Mattress"",""item_revenue_in_usd"":595.0,""price_in_usd"":595.0,""quantity"":1}],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593877772975990,""user_id"":""UA000000107369427""}"
UA000000107393216,"{""device"":""macOS"",""ecommerce"":{},""event_name"":""checkout"",""event_previous_timestamp"":1593880741311315,""event_timestamp"":1593880830140019,""geo"":{""city"":""Fargo"",""state"":""ND""},""items"":[{""item_id"":""M_STAN_F"",""item_name"":""Standard Full Mattress"",""item_revenue_in_usd"":945.0,""price_in_usd"":945.0,""quantity"":1}],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880382734336,""user_id"":""UA000000107393216""}"
UA000000107325264,"{""device"":""Android"",""ecommerce"":{""purchase_revenue_in_usd"":1195.0,""total_item_quantity"":1,""unique_items"":1},""event_name"":""finalize"",""event_previous_timestamp"":1593876666372094,""event_timestamp"":1593880830038130,""geo"":{""city"":""Tuttle"",""state"":""OK""},""items"":[{""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195.0,""price_in_usd"":1195.0,""quantity"":1}],""traffic_source"":""direct"",""user_first_touch_timestamp"":1593872552663730,""user_id"":""UA000000107325264""}"
UA000000107377602,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""email_coupon"",""event_previous_timestamp"":1593880697501673,""event_timestamp"":1593880832779143,""geo"":{""city"":""Vineland"",""state"":""NJ""},""items"":[],""traffic_source"":""direct"",""user_first_touch_timestamp"":1593878686736308,""user_id"":""UA000000107377602""}"
UA000000107397643,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""main"",""event_timestamp"":1593880838082657,""geo"":{""city"":""Minneapolis"",""state"":""MN""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593880838082657,""user_id"":""UA000000107397643""}"
UA000000107369021,"{""device"":""iOS"",""ecommerce"":{},""event_name"":""reviews"",""event_previous_timestamp"":1593880064030570,""event_timestamp"":1593880834060045,""geo"":{""city"":""Spencer"",""state"":""WV""},""items"":[],""traffic_source"":""google"",""user_first_touch_timestamp"":1593877728194714,""user_id"":""UA000000107369021""}"
UA000000107388503,"{""device"":""Windows"",""ecommerce"":{},""event_name"":""delivery"",""event_previous_timestamp"":1593879876501779,""event_timestamp"":1593880838455915,""geo"":{""city"":""Houston"",""state"":""TX""},""items"":[],""traffic_source"":""facebook"",""user_first_touch_timestamp"":1593879876501779,""user_id"":""UA000000107388503""}"
