key,offset,partition,timestamp,topic,value
VUEwMDAwMDAxMDczODAyOTY=,219246233,0,1593880175268,clickstream,eyJkZXZpY2UiOiJBbmRyb2lkIiwiZWNvbW1lcmNlIjp7fSwiZXZlbnRfbmFtZSI6ImNhcmVlcnMiLCJldmVudF9wcmV2aW91c190aW1lc3RhbXAiOjE1OTM4ODAwMTM1MDY5NzksImV2ZW50X3RpbWVzdGFtcCI6MTU5Mzg4MDE3NTI1Mjk0OSwiZ2VvIjp7ImNpdHkiOiJZdW1hIiwic3RhdGUiOiJDTyJ9LCJpdGVtcyI6W10sInRyYWZmaWNfc291cmNlIjoiZ29vZ2xlIiwidXNlcl9maXJzdF90b3VjaF90aW1lc3RhbXAiOjE1OTM4Nzg5ODg2MjU5NTEsInVzZXJfaWQiOiJVQTAwMDAwMDEwNzM4MDI5NiJ9
VUEwMDAwMDAxMDczOTEyODU=,219428744,1,1593880175652,clickstream,eyJkZXZpY2UiOiJtYWNPUyIsImVjb21tZXJjZSI6e30sImV2ZW50X25hbWUiOiJtYWluIiwiZXZlbnRfdGltZXN0YW1wIjoxNTkzODgwMTc1NjQ3NDE4LCJnZW8iOnsiY2l0eSI6IlNwcmluZ2ZpZWxkIiwic3RhdGUiOiJNQSJ9LCJpdGVtcyI6W10sInRyYWZmaWNfc291cmNlIjoiZ29vZ2xlIiwidXNlcl9maXJzdF90b3VjaF90aW1lc3RhbXAiOjE1OTM4ODAxNzU2NDc0MTgsInVzZXJfaWQiOiJVQTAwMDAwMDEwNzM5MTI4NSJ9
VUEwMDAwMDAxMDczOTEyODM=,219428745,1,1593880175674,clickstream,eyJkZXZpY2UiOiJXaW5kb3dzIiwiZWNvbW1lcmNlIjp7fSwiZXZlbnRfbmFtZSI6Im1hdHRyZXNzZXMiLCJldmVudF90aW1lc3RhbXAiOjE1OTM4ODAxNzU2MzEwMTksImdlbyI6eyJjaXR5IjoiTWFydGluIiwic3RhdGUiOiJUTiJ9LCJpdGVtcyI6W10sInRyYWZmaWNfc291cmNlIjoiZmFjZWJvb2siLCJ1c2VyX2ZpcnN0X3RvdWNoX3RpbWVzdGFtcCI6MTU5Mzg4MDE3NTYzMTAxOSwidXNlcl9pZCI6IlVBMDAwMDAwMTA3MzkxMjgzIn0=
VUEwMDAwMDAxMDczOTEzMTE=,219428830,1,1593880178176,clickstream,eyJkZXZpY2UiOiJpT1MiLCJlY29tbWVyY2UiOnt9LCJldmVudF9uYW1lIjoibWF0dHJlc3NlcyIsImV2ZW50X3RpbWVzdGFtcCI6MTU5Mzg4MDE3ODEzOTQ4NiwiZ2VvIjp7ImNpdHkiOiJSZXlub2xkc2J1cmciLCJzdGF0ZSI6Ik9IIn0sIml0ZW1zIjpbXSwidHJhZmZpY19zb3VyY2UiOiJpbnN0YWdyYW0iLCJ1c2VyX2ZpcnN0X3RvdWNoX3RpbWVzdGFtcCI6MTU5Mzg4MDE3ODEzOTQ4NiwidXNlcl9pZCI6IlVBMDAwMDAwMTA3MzkxMzExIn0=
VUEwMDAwMDAxMDczOTEyNzk=,219428903,1,1593880174869,clickstream,eyJkZXZpY2UiOiJDaHJvbWUgT1MiLCJlY29tbWVyY2UiOnt9LCJldmVudF9uYW1lIjoibWF0dHJlc3NlcyIsImV2ZW50X3RpbWVzdGFtcCI6MTU5Mzg4MDE3NDgyMTE1OCwiZ2VvIjp7ImNpdHkiOiJUaG9tYXN2aWxsZSIsInN0YXRlIjoiTkMifSwiaXRlbXMiOltdLCJ0cmFmZmljX3NvdXJjZSI6ImZhY2Vib29rIiwidXNlcl9maXJzdF90b3VjaF90aW1lc3RhbXAiOjE1OTM4ODAxNzQ4MjExNTgsInVzZXJfaWQiOiJVQTAwMDAwMDEwNzM5MTI3OSJ9
VUEwMDAwMDAxMDczOTEzMDA=,219246249,0,1593880177078,clickstream,eyJkZXZpY2UiOiJBbmRyb2lkIiwiZWNvbW1lcmNlIjp7fSwiZXZlbnRfbmFtZSI6Im1haW4iLCJldmVudF90aW1lc3RhbXAiOjE1OTM4ODAxNzcwNjU0NDMsImdlbyI6eyJjaXR5IjoiTG9zIEFuZ2VsZXMiLCJzdGF0ZSI6IkNBIn0sIml0ZW1zIjpbXSwidHJhZmZpY19zb3VyY2UiOiJnb29nbGUiLCJ1c2VyX2ZpcnN0X3RvdWNoX3RpbWVzdGFtcCI6MTU5Mzg4MDE3NzA2NTQ0MywidXNlcl9pZCI6IlVBMDAwMDAwMTA3MzkxMzAwIn0=
VUEwMDAwMDAxMDczOTExNDk=,219428668,1,1593880160056,clickstream,eyJkZXZpY2UiOiJpT1MiLCJlY29tbWVyY2UiOnt9LCJldmVudF9uYW1lIjoibWF0dHJlc3NlcyIsImV2ZW50X3RpbWVzdGFtcCI6MTU5Mzg4MDE2MDAzOTg4OSwiZ2VvIjp7ImNpdHkiOiJEb3duZXkiLCJzdGF0ZSI6IkNBIn0sIml0ZW1zIjpbXSwidHJhZmZpY19zb3VyY2UiOiJkaXJlY3QiLCJ1c2VyX2ZpcnN0X3RvdWNoX3RpbWVzdGFtcCI6MTU5Mzg4MDE2MDAzOTg4OSwidXNlcl9pZCI6IlVBMDAwMDAwMTA3MzkxMTQ5In0=
VUEwMDAwMDAxMDczODM0Mzc=,219428728,1,1593880163121,clickstream,eyJkZXZpY2UiOiJtYWNPUyIsImVjb21tZXJjZSI6e30sImV2ZW50X25hbWUiOiJjYXJlZXJzIiwiZXZlbnRfcHJldmlvdXNfdGltZXN0YW1wIjoxNTkzODc5NzE3NjgxODEyLCJldmVudF90aW1lc3RhbXAiOjE1OTM4ODAxNjMwOTc4MjAsImdlbyI6eyJjaXR5IjoiT3JhbmdlIiwic3RhdGUiOiJDQSJ9LCJpdGVtcyI6W10sInRyYWZmaWNfc291cmNlIjoieW91dHViZSIsInVzZXJfZmlyc3RfdG91Y2hfdGltZXN0YW1wIjoxNTkzODc5MzI0Nzk1MjcwLCJ1c2VyX2lkIjoiVUEwMDAwMDAxMDczODM0MzcifQ==
VUEwMDAwMDAxMDczODE4NzM=,219428747,1,1593880170127,clickstream,eyJkZXZpY2UiOiJXaW5kb3dzIiwiZWNvbW1lcmNlIjp7fSwiZXZlbnRfbmFtZSI6Im9yaWdpbmFsIiwiZXZlbnRfcHJldmlvdXNfdGltZXN0YW1wIjoxNTkzODc5MTU2MTU0ODAxLCJldmVudF90aW1lc3RhbXAiOjE1OTM4ODAxNzAxMDc1NjQsImdlbyI6eyJjaXR5IjoiSGF3dGhvcm5lIiwic3RhdGUiOiJDQSJ9LCJpdGVtcyI6W10sInRyYWZmaWNfc291cmNlIjoiZ29vZ2xlIiwidXNlcl9maXJzdF90b3VjaF90aW1lc3RhbXAiOjE1OTM4NzkxNTYxNTQ4MDEsInVzZXJfaWQiOiJVQTAwMDAwMDEwNzM4MTg3MyJ9
VUEwMDAwMDAxMDczODIyMzM=,219428785,1,1593880176955,clickstream,eyJkZXZpY2UiOiJBbmRyb2lkIiwiZWNvbW1lcmNlIjp7fSwiZXZlbnRfbmFtZSI6ImNhcnQiLCJldmVudF9wcmV2aW91c190aW1lc3RhbXAiOjE1OTM4NzkyMDk1ODMyOTAsImV2ZW50X3RpbWVzdGFtcCI6MTU5Mzg4MDE3NjkzMjQ1MywiZ2VvIjp7ImNpdHkiOiJOZXcgWW9yayIsInN0YXRlIjoiTlkifSwiaXRlbXMiOlt7Iml0ZW1faWQiOiJNX1NUQU5fRiIsIml0ZW1fbmFtZSI6IlN0YW5kYXJkIEZ1bGwgTWF0dHJlc3MiLCJpdGVtX3JldmVudWVfaW5fdXNkIjo5NDUuMCwicHJpY2VfaW5fdXNkIjo5NDUuMCwicXVhbnRpdHkiOjF9XSwidHJhZmZpY19zb3VyY2UiOiJpbnN0YWdyYW0iLCJ1c2VyX2ZpcnN0X3RvdWNoX3RpbWVzdGFtcCI6MTU5Mzg3OTE5NTI2MjA0NywidXNlcl9pZCI6IlVBMDAwMDAwMTA3MzgyMjMzIn0=
